연구보고서명,발행일,연구책임자,보고서종류,국제표준도서번호,연구목적
[2024] 개인예산제 서비스 관리·운영 체계 마련 연구: 돌봄영역을 중심으로,2024-10-31,서원선,정책연구,978-89-6921-015-9(93330),해외의 개인예산제 하에서 적용하고 있는 돌봄서비스 관리  운영 체계를 파악하고 국내에 적용함에 있어 필요한 정책을 제언 하고자 함
[2024] 뇌성마비장애인 욕구조사,2024-10-31,김영수,정책연구,978-89-6921-015-9(93330),뇌성마비장애인의 욕구조사 실시하고 조사결과를 바탕으로 맞춤형 지원 방안을 제안하고자 함
[2024] 정신장애인 지역사회 자립을 위한 지원 방안 마련 연구: 동료지원쉼터중심으로,2024-10-31,서원선,정책연구,978-89-6921-016-6(93330),정신장애인동료지원쉼터의 운영방법  운영기준  인력기준 등을 제시하고  지역사회내에서 정신장애인이 추가적으로 필요한 서비스를 파악하여 정신장애인동료지원쉼터의 기능을 강화하고 지역사회 기관과 연계하는 것임
[2024] 지역사회 주거전환 장애인의 정신건강 지원방안 연구,2024-10-31,서원선,정책연구,978-89-6921-065-4(93330),본 연구의 목적은 시설에서 지역사회로 전환하여 지역사회에서 거주하는 장애인의 정신건강 관련 문제점을 파악하고 정신건강 지원 방안을 조사하여 장애인의 정신건강 유지를 위한 정책 및 제도를 제안하는 것임
[2024] 2024 장애통계연보,2024-09-30,곽나연,정책연구,3022-0645,장애통계연보는 장애인권리협약(CRPD)의 권리를 기반으로 하고  생애주기별 복지욕구에 기반한 다양한 통계 및 지표를 수집 및 생산하여 장애인복지정책을 제안하는데 기초자료로서 역할을 목적으로 함
[2024] 장애인삶 패널조사 이용자 안내서(1차-5차),2024-05-31,곽나연,정책연구,978-89-6921-516-1(93330),장애인삶 패널조사의 기초 정보를 제공하고  통계조사로 부터 데이터가 생산되는 전 과정을 통계이용자에게 제공하여 데이터에 대한 이해를 높임으로 올바른 분석이 수행될 수 있도록 가이드를 제공하고자 함
[2024] 2024년 장애인 빈곤 및 소득불평등 지표,2024-05-31,조윤화,정책연구,978-89-6921-013-5,2024년 장애인 빈곤 및 소득불평등 지표 분석
[2024] 2023 KODDI 연구요약집,2024-04-30,각 과제별 책임연구자,정책연구,데이터 미집계,2023 KODDI 연구요약집
[2023] 2023년 장애인편의시설 설치 현황조사,2024-04-12,안성준,편의증진,978-89-6921-508-6(93310),장애인 편의시설 설치 현황조사는 편의시설 설치 의무대상시설에 대해 편의시설 설치 현황을 파악하여 편의시설의 효율적 관리를 도모하고  향후 장애인 등의 이동 및 접근성 향상 관련 정책 개발 및 추진의 기초자료를 제공하는 것을 목적으로 함
[2024] 장애인 대상 감염병 대응 매뉴얼: 장애인거주시설을 중심으로,2024-03-31,조윤화,용역연구,데이터 미집계,거주시설 유형별 장애인 대상 감염병 대응 매뉴얼 마련
[2023] 장애인식개선교육 효과성 측정을 위한 지표개발 및 발전방안 연구,2024-02-15,이준우,정책연구,978-89-6921-017-3,장애인식개선교육 효과성 측정을 위한 지표개발 및 발전방안 연구를 목적으로함
[2023] 장애인복지법에 따른 장애인식개선교육 평가지표 개발 연구,2024-01-19,김가원,정책연구,978-89-6921-507-9,사회적 장애인식개선교육 활성화를 위한 평가지표 개발을 목적으로 함
[2024] IoT 기술활용 돌봄정책 발전방향 연구-장애인거주시설 IoT  AI활용 디지털 돌봄사업을 중심으로,2024-01-12,이혜경,정책연구,978-89-6921-515-4(93300),장애인·노인 등 집단거주시설은 코로나19 등 감염병 위험이 높으며  서비스 제공되지 않는 시간대에 돌봄 공백이 발생함에 따라 응급상황에 신속 대응할 수 있는 시스템의 마련 필요함. 이에 국내외 IoT기술 활용 돌봄 서비스 (공적/사적)유사서비스 분석하고 장애인 거주시설 IoT  AI활용 디지털 돌봄사업에 참여하는 시설 종사자와 관련 전문가를 대상으로 FGI를 실시하여 IoT기술 활용 돌봄사업의 정책방향을 모색하고자 함.
[2023] 2023년 장애인정책 연구 공모사업 결과보고서,2023-12-31,김기철 문영임 유은화,정책연구,데이터 미집계,데이터 미집계
[2023] 중증장애인 공공·민간 연계 신규일자리 창출사업 개선 방안 및 신규 업종 직무개발 ,2023-12-29,주식회사 플랜엠,직업재활,978-89-6921-511-6,중증장애인 공공·민간 연계 신규일자리 창출사업 개선 방안 및 신규 업종 직무개발 
[2023] 장애인거주시설에서 지역사회 주거서비스 제공기관으로의 변환 과정에 대한 성과 및 한계점 연구,2023-12-29,송승연,정책연구,978-89-6921-514-7(93330),시설 전환 컨설팅사업’에 참여하여 지역사회 중심 기관으로 변환을 추구해온 3개 시설(해맑은마음터(서울)  평화의집(부산)  더숨99지원센터(전북 군산))을 대상으로 분석하고자 하며  특히 2차년도 시범사업 신규 지역과 수행기관으로 선정된 군산 더숨99지원센터의 사례를 심층적으로 분석하고자 함
[2023] 장애인직업재활시설 실태조사,2023-12-29,이혜경,정책연구,978-89-6921-512-3(93300),직업재활시설 운영의 전반적 실태 파악하고 특히 종사자와 훈련장애인 및 훈련프로그램을 구체적으로 파악해 시설 운영에 필요한 지원기준 마련과 정책개발에 활용하고자함. 
[2023] 2022 장애인삶 패널조사,2023-12-27,김현지,정책연구,978-89-6921-502-4(93330),장애인의 장애등록 이후 삶의 변화를 파악하고  삶과 관련된 일상생활  소득수준  건강상태  복지욕구  사회참여 등의 탐색을 통해 향후 관련 정책의 수립 및 지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함
[2023] 장애인 재난 안전 가이드 고도화 방안 연구,2023-12-15,이수연,정책연구,978-89-6921-012-8(93330),현장 모의적용(장애인 개인별 재난 안전 대피 계획 수립)을 통한 장애인 재난 안전 가이드 고도화
[2023] 장애인 재난안전지원체계 연구,2023-12-15,한기명,정책연구,978-89-6921-503-1(93330),본 연구는 국내 장애인 재난안전지원체계를 분석하고  실제 재난 상황을 경험한 장애인 당사자와 주변인을 중심으로 현행 장애인 재난안전지원체계의 문제점 및 개선방안을 도출하는 것임.
[2023] 중증장애인생산품 우선구매제도 개선 연구-공공기관 등을 중심으로,2023-12-15,이혜경,정책연구,978-89-6921-512-3,해외사례분석과 공공기관 중심의 조사를 통해 중증장애인생산품 우선구매제도 개선방안을 제시함으로써 제도의 실효성을 제고하고 중증장애인의 직업재활 도모를 위한 정책과제를 모색하고자 함
[2023] 장애인일자리사업 종합평가 연구,2023-12-08,남서울대학교 양숙미 교수,직업재활,978-89-6921-501-7(93330),장애인일자리사업 성과 분석 및 직무 재분류
[2023] 2022년 장애인삶패널조사 공표 일정 사전 안내,2023-11-30,김현지,정책연구,데이터 미집계,장애인의 장애등록 이후 삶의 변화를 파악하고 삶과 관련된 일상생활  소득수준  건강상태  복지욕구  사회참여 등의 탐색을 통해 향후 관련 정책의 수립 지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함
[2023] 유엔장애인권리협약 일반논평(5 6호) 안내서,2023-10-31,유경민,정책연구,978-89-6921-491-1(93330),유엔장애인권리협약 일반논평(5 6호) 안내서
[2023] 연령대별 여성장애인의 경제활동 분석 및 개선방안 연구 보고서,2023-10-31,김영수,정책연구,978-89-6921-495-9(93330),연령대별로 여성장애인의 경제활동을 분석하고 개선방안 제안하고자 함
[2023] 장애포괄적 기후대응 정책 마련을 위한 기초연구,2023-10-31,이혜경,정책연구,978-89-6921-494-2(93330),장애포괄적인 기후대응 정책에 대한 기초연구 수행
[2023] 거주시설 퇴소 장애인 지역사회 자립 실태조사 연구,2023-10-31,서해정,정책연구,978-89-6921-513-0(93330),‘탈시설 장애인 지역사회 자립지원 로드맵’(보건복지부  2021) 발표 이후 거주시설 장애인의 지역사회 자립생활을 보장하는 것은 중요성을 지니게 됨. 그러나 현재까지 전국 단위에서의 거주시설 퇴소 장애인의 자립 현황 등의 기초자료는 부재한 상황임. 이를 위해 거주시설 퇴소 후 지역사회에서 생활하고 있는 장애인의 자립 실태를 조사하고  이를 분석하여 안정적이고 지속적인 지역사회 자립생활 유지를 위한 정책적 실천적 방안을 제시하고자 함. 
[2023] 장애인 이동패턴 분석을 통한 이동권 개선 연구 유동인구 데이터 분석을 중심으로,2023-10-31,서원선,정책연구,978-89-6921-496-6(93330),장애인 이동패턴 분석을 통하여 이동권에 대해서 개선방안을 모색하고자 함
[2023] 중증장애인생산품 생산시설 지정 및 재지정 심사기준 개선 연구,2023-10-31,서원선,정책연구,978-89-6921-497-3(93330),중증장애인생산품 생산시설을 지정 및 재지정하기 위한 심사 기준에 대하여 개선방안 마련하고자 함
[2023] 사람중심 장애인사용 자동차 표지 발급 개선 연구,2023-10-31,이혜경,정책연구,978-89-6921-498-0(93330),사람중심의 장애인사용 자동차표지 발급 제도에 대하여 국내 현황 및 해외사례를 조사하고 개선방안을 모색함
[2023] 장애인삶 패널조사 데이터 품질연구(2023),2023-10-31,김현지,정책연구,978-89-6921-490-4(93330),장애인삶 패널조사 데이터 품질 분석을 통해 데이터 품질 향상을 위한 시사점을 도출하고 5차년도 장애인삶 패널조사 가중치 부여 방안을 마련하고자 함
[2023] 중증장애인의 건강권 보장을 위한 의료기관 접근성 강화 방안 연구: 이동지원을 중심으로,2023-10-30,한기명,정책연구,978-89-6921-489-8(93330),지역사회 내에 거주하고 있는 중증장애인의 의료기관 이동 접근성을 강화하기 위해 의료기관 방문이 어려운 신체적  경제적 어려움 등을 수요자 관점에서 분석하고  실질적인 건강권 확보를 위한 합리적인 정책방안을 모색하고자 함
[2023] 개인예산제 적용방안에 관한 연구: 직접고용을 중심으로,2023-10-30,조윤화,정책연구,978-89-6921-492-8(93330),본 연구는 한국형 개인예산제 모형 구축 시 가장 쟁점이 되는 ‘민간에서의 돌봄제공인력 직접 고용’의 주요내용(가족 내 허용 기준  단가  품질관리 및 노무관리 인프라 등)을 해외사례와 질적 연구를 통해 살펴보고  직접 고용 실행을 위해 전제되어야 할 고용가능 돌봄인력 기준  인프라  품질유지 방안 등을 구체적으로 제시함으로써  당사자의 직접고용 실행을 위한 세부지원 방안을 모색하는 것임
[2023] 정신장애인의 일상생활 및 사회참여 확대를 위한 장애인활동지원제도 개편 방안 연구,2023-10-30,조윤화,정책연구,978-89-6921-011-1(93330),정신장애인 당사자 측면에서 활동지원제도의 문제점과 개선사항들을 탐색적 및 경험적 측면에서 분석하고자 함.
[2023] 장애인 활동지원사 전문성 제고방안 연구,2023-10-30,조윤화,정책연구,978-89-6921-488-1(93330),활동지원서비스 이용자들의 전문적 지원 욕구 증가에 따른 활동지원사의 전문성을 강화하기 위한 방안을 제시하고자 함
[2023] 고령장애인의 돌봄서비스 지원방안 연구,2023-10-30,조윤화,정책연구,978-89-6921-487-4(93330),고령장애인의 개념을 검토하고  ‘장애’와 ‘노화’로 인한 이중고를 겪고 있는 고령장애인을 위한 돌봄에 대한 국내외 정책 및 제도 활용 실태를 살펴봄으로써 고령장애인의 욕구 및 특성에 맞는 서비스 개선 및 신규서비스 발굴 등을 모색하고자 함.
[2023] 2023 장애통계연보,2023-09-30,김현지,정책연구,978-89-6921-484-3(93300),장애통계연보는 장애인권리협약(CRPD)의 권리를 기반으로 하고  생애주기별 복지욕구에 기반한 다양한 통계 및 지표를 수집 및 생산하여 장애인복지정책을 제안하는데 기초자료로서 역할을 목적으로 함
[2023] 국제장애인권리보장센터 설립 타당성 및 운영방안 연구,2023-09-27,이동석,정책연구,978-89-6921-008-1(93300),인천전략 주도국으로서의 성과를 정리하고  이를 지속적으로 확대·발전시킬 수 있는 '국제장애인권리보장센터' 설립의 타당성 및 정체성을 정립하고  센터의 구체적인 운영방안 모색
[2022] 지역장애아동지원센터 운영방안 연구,2023-06-30,석말숙,정책연구,978-89-6921-460-7, 연구에서는 지역장애아동지원센터 기능에 따른 공적 및 유관기관과의 전달체계 내  역할과 기능을 모색하고  장애아동복지지원법 및 관계 법령을 검토하여 효율적인 지역장애 아동지원센터 전달체계 정립을 위한 전문적 가이드라인을 제시하고자 함
[2022] 장애인삶 패널조사 이용자 안내서(1차-4차),2023-05-31,김현지,정책연구,978-89-6921-480-5(93330),장애인삶 패널조사의 기초 정보를 제공하고  통계조사로 부터 데이터가 생산되는 전 과정을 통계이용자에게 제공하여 데이터에 대한 이해를 높임으로 올바른 분석이 수행될 수 있도록 가이드를 제공하고자 함
[2023] 장애통계데이터 아카이브 구축 연구,2023-05-31,김현지,정책연구,978-89-6921-481-2(93330),장애통계데이터 아카이브 구축에 필요한 기초자료를 마련하기 위한 연구
[2023] 2022 KODDI 연구요약집,2023-04-28,각 과제별 책임연구자,정책연구,데이터 미집계,2022KODDI 연구요약집
[2023] 2022년 장애인 빈곤 및 소득불평등 지표,2023-04-07,조윤화,정책연구,978-89-6921-010-4(93330),본 연구는 2차 자료를 활용하여 전체인구  비장애인 인구  장애인구의 빈곤 및 소득불평등 지표를 분석하여  장애인복지정책 소득보장제도의 효과성을 파악할 수 있는 기초자료를 생산함
[2022] 중증장애인직업재활지원사업 성과분석 및 발전방안 연구,2022-12-31,나운환,직업재활,978-89-6921-475-1,중증장애인직업재활지원사업의 성과 종합 분석 및 평가를 통한 개선방안 및 중장기 발전방안 모색
[2022] 2022년 장애인정책 연구 공모사업 결과보고서,2022-12-31,"송준혁, 안문경, 박건우",기타,978-89-6921-462-1(93330),장애인의 생활과 밀접한 문제를 연구하고자 하는 개인 또는 단체의 연구자들을 지원하여 체감도 높은 이슈 발굴 및 적용 가능한 정책 도출
[2022] 2022 장애인백서,2022-12-31,김정희,정책연구,978-89-6921-461-4(93330),현재 진행되고 있는 장애인정책을 재조명하고 장애인복지 업무 및 정책 등을 체계적으로 종합할 수 있는 자료 제공을 목적으로 함
[2022] 제2차 장애인 재난안전 대책 강화 사업,2022-12-31,최승훈,정책연구,978-89-6921-471-3(93330),본 연구는 장애인구의 안전문화 확산을 위해 장애인 대상 재난안전 매뉴얼을 개정하고 정보접근성 강화를 위해 동영상으로 제작하고 배포함. 개정된 매뉴얼을 바탕으로 전국 중증장애인 가정에 방문해 매뉴얼을 통한 재난안전 교육 및 훈련을 제공하여 장애인구를 재난안전 사고로부터 보호하고자 함.
[2022] 2021 장애인삶 패널조사,2022-12-30,김정희,정책연구,978-89-6921-470-6(93330),장애인의 장애등록 이후 삶의 변화를 파악하고  삶과 관련된 일상생활  소득수준  건강상태  복지욕구  사회참여 등의 탐색을 통해 향후 관련 정책의 수립 및 지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함
[2022] 장애물 없는 생활환경(BF)인증제도 인증 연장지표 개발 연구보고서,2022-12-30,김인순,정책연구,978-89-6921-427-0(93540),장애물 없는 생활환경(BF)인증제도 인증 연장지표 개발
[2022] 중증장애인 소득활동종합조사 시범사업 모니터링 연구,2022-12-30,조윤화,정책연구,978-89-6921-009-8(93330),본 연구는 비경제활동 중증장애인 발굴 정도  소득활동종합조사 결과와 서비스 연계 간 적절성  소득활동조합조사 이후 제공되는 취업 및 훈련 내용  소득창출 정도  비경제활동 중증장애인의 시범사업 참여 의미 등을 분석하여 중증장애인 소득활동종합조사 시범사업 효과성을 파악하는 것임
[2022] 중증장애인직업재활지원사업의 확장현실(XR) 적용기반 마련 기초연구,2022-12-30,전주대학교 김동현,직업재활,978-89-8448-196-1(93500),직업적응훈련 중심 확장현실을 적용한 재활교육사업의 모델 제시
[2022] 중증장애인생산품 생산시설 생산능력 분석 연구,2022-12-23,이혜경,정책연구,978-89-6921-468-3(93330),중증장애인생산시설 생산능력 확인 및 우선구매제도개선 
[2022] 중증장애인생산품 우선구매 실태조사 ,2022-12-23,이혜경,정책연구,978-89-6921-467-6(93330),중증장애인생산품 우선구매 실태조사를 실시함
[2022] 거주시설 장애인의 자립생활 지원체계 강화 방안 연구,2022-12-20,서해정,정책연구,978-89-6921-474-4(93330),거주시설 장애인의 지역사회 자립생활을 지원하기 위해 전국 광역단위에서의 지역사회 기반 자립생활지원 전달체계와 지원 서비스 및 자원 조사 등의 기초자료가 마련될 필요가 있음. 이를 위해 문헌조사 및 행정자료 등을 분석하여 탈시설 장애인의 지역사회 자립지원을 위한 전달체계의 법제화 및 지침개정 등의 방안을 제시하고자 함
[2022] 중도·중증장애인 장기입원 실태조사 연구: 중추신경계 손상 환자를 중심으로,2022-12-16,한기명,정책연구,978-89-6921-466-9(93330),본 연구는 불의의 사고 또는 질환으로 중도의 심한 장애의 결과를 초래하는 회복기 재활환자 중 중추신경계 손상환자를 중도장애인으로 정의하고  장기입원을 유지하는 환자의 특성과 의료비 지출현황 등 의료이용 측면에서 장애인 건강권법 도입 효과성을 확인함으로써 환자의 삶의 질 개선을 위해 정부 차원에서의 정책대안을 모색하고자 함.
[2022] 2021년 장애인삶패널조사 공표 일정 사전 안내,2022-11-30,김정희,정책연구,데이터 미집계,장애인의 장애등록 이후 삶의 변화를 파악하고 삶과 관련된 일상생활  소득수준  건강상태  복지욕구  사회참여 등의 탐색을 통해 향후 관련 정책의 수립지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함
[2022] 유엔장애인권리협약 일반논평(3 4호) 안내서,2022-11-30,유경민,정책연구,978-89-6921-459-1(93330),유엔장애인권리협약 일반논평(3 4호) 안내서
[2022] 장애인일자리 정책환경 변화에 따른 발전방안 연구,2022-11-01,남서울대학교 양숙미 교수 ,직업재활,978-89-6921-455-3(93330) ,장애인일자리 정책환경 변화에 따른 장애인일자리사업 발전 방안 제시
[2022] 호흡기장애인 지원방안 모색 연구 보고서,2022-10-31,서원선,정책연구,978-89-6921-451-5(93330),호흡기장애인의 일상생활의 어려움을 이해하고 관련 제도 개선을 위한 방안 제시
[2022] 장애인복지법 제15조 개정에 따른 정신장애인 자립생활 지원 방안 연구: 자립생활센터 역할을 중심으로,2022-10-31,조윤화,정책연구,978-89-6921-446-1(93330),본 연구는 장애인복지법 제15조 개정에 의해 정신장애인의 지역사회 내 정착을 위해서 자립생활센터의 장기적인 역할과 방향을 제시하기 위함.
[2022] 윤석열 정부 국정과제 현안 연구,2022-10-31,"이혜경, 조윤화, 서원선, 한기명, 최승훈, 이수연",정책연구,978-89-6921-457-7(93330),윤석열 정부 국정과제의 이행과 촉진을 위해 활용될 수 있는 정책방향과 과제 제시
[2022] 탄소중립 녹색사회를 위한 장애계 대응 방안 연구,2022-10-31,이혜경,정책연구,978-89-6921-452-2(93330),탄소중립 실현을 위한 정책에서 장애인이 잠재적으로 소외되지 않도록  장애인을 고려한 정책이 수립될 수 있도록  장애계에서 실천할 수 있는 탄소중립 녹색사회를 위한 방안을 제시하는데 있음.
[2022] 장애인등록제도 개편방안 연구,2022-10-31,조윤화,정책연구,978-89-6921-445-4(93330),본 연구는 장애인등록제도의 역할과 쟁점을 파악하고  장애인의 선택권 확보를 위해 장단기 측면에서 장애인등록제도의 개편방안을 모색하고자 함.
[2022] 디지털 시대 장애인 정보격차 해소를 위한 방안 마련 연구,2022-10-31,서원선,정책연구,978-89-6921-453-9(93330),장애인의 일상생활 중 경험하는 정보격차 및 정보이용의 어려움을 파악하고 정책 개선점을 도출하는데 있음.
[2022] 장애인생산품 판매시설 평가방안 연구,2022-10-31,이혜경,정책연구,978-89-6921-449-2(93330),장애인생산품 판매시설의 평가 방안 마련 
[2022] 지역발달장애인지원센터 사업 평가지표 개발 및 운영체계 연구,2022-10-31,유경민,정책연구,978-89-6921-454-6(93330),지역발달장애인지원센터 사업평가 지표 개발 및 평가운영의 신뢰성  타당성 확보를 위한 연구를 수행하여  객관적 자료를 도출하고 이를 기반으로 향후 서비스 질 관리 방안 마련 등의 기초자료로서 활용가능하도록 함
[2022] 진행성 근육장애인의 보건 복지 욕구 파악을 위한 연구,2022-10-31,서원선,정책연구,978-89-6921-450-8(93330),근육질환에 따른 근육장애인의 보건 복지 욕구 파악을 위한 연구
[2022] 장애유형별 운동프로그램 개발 연구(Ⅱ): 시각장애인을 중심으로,2022-10-31,한기명,정책연구,978-89-6921-448-5(93330),코로나19 이후 장애인 편의시설을 갖춘 장소가 중단되거나 운영 규모를 축소하면서 비대면 컨텐츠를 통한 요구도가 증가하고 있는 반면  시각장애인이 이용하기에는 어려움이 많은 상황임. 이에 시각장애인 당사자가 직접 참여하는 운동프로그램 개발을 통해 당사자에게 적합한 비대면 컨텐츠를 제공하고자 함. 
[2022] 중도.중증장애인의 지역사회복귀 지원방안 연구,2022-10-31,한기명,정책연구,978-89-6921-447-8(93330),본 연구는 불의의 사고 또는 질환으로 중도의 심한 장애의 결과를 초래하는 회복기 재활환자를 대상으로 이들의 재활의료기관 입원 경험  지역사회돌봄 서비스 수혜 경험  지역사회 복귀를 위해 필요한 지원 등을 확인함으로써 성공적인 지역사회 복귀 지원방안을 모색하고자 함.
[2022] 2021 장애인 빈곤 및 소득불평등 지표 연구,2022-10-31,조윤화,정책연구,978-89-6921-458-4(93330),본 연구는 2차 자료를 활용하여 전체인구  비장애인 인구에서의 장애인구의 빈곤 및 소득불평등 지표를 분석하여 장애인복지정책 소득보장제도의 효과성을 파악할 수 있는 기초자료를 생산하고자 함
[2022] 장애인삶 패널조사 데이터 품질연구,2022-10-31,김현지,정책연구,978-89-6921-456-0(93330),데이터 품질 분석을 통한 체계적인 표본 관리의 일환으로 4차 년도 장애인삶 패널조사 가중치 부여 방안을 마련하고  통계청의 통계품질진단 결과를 분석하여 장애인삶 패널조사를 위한 개선방안을 도출하고자 함
[2022] 2022 장애통계연보,2022-09-30,김현지,정책연구,978-89-6921-444-7(93330),장애통계연보는 장애인권리협약(CRPD)의 권리를 기반으로 하고  생애주기별 복지욕구에 기반한 다양한 통계 및 지표를 수집 및 생산하여 장애인복지정책을 제안하는데 기초자료로서 역할을 목적으로 함
[2022] 장애인삶 패널조사 이용자 안내서(1차~3차),2022-05-31,김현지,정책연구,978-89-6921-007-4(93330) ,장애인삶 패널조사의 기초 정보를 제공하고  통계조사로 부터 데이터가 생산되는 전 과정을 통계이용자에게 제공하여 데이터에 대한 이해를 높임으로 올바른 분석이 수행될 수 있도록 가이드를 제공하고자 함
[2021] 지역장애아동지원센터 설치 및 운영을 위한 기초연구 ,2022-05-02,한국보건사회연구원 황주희 부연구위원 ,연구보고서 ,978-89-6921-437-9(93330),지역장애아동지원센터의 역할과 기능 모색 및 기존 장애아동 지원체계의 현황과 잼점을 검토하여 지역장애아동지원센터 시범사업(안)을 제시하고자 함. 
[2021] 장애아동 발달재활서비스 효과성 및 개선방안 연구,2022-05-02,서울대학교 김동일 교수 ,연구보고서 ,978-89-6921-436-2(93330),발달재활서비스 효과성 평가지표 개발 및 성과분석을 통한 발달재활서비스 사업의 주요 정책 개선방안을 제시하고자 함.  
[2022] 2021 KODDI 연구요약집 ,2022-04-29,각 과제별 책임연구자 ,자료,978-89-6921-438-6(93330)  ,본 원에서 2021년 한해 동안 수행한 연구보고서의 요약 
[2021] 2021년 장애인정책 연구 공모사업 결과보고서,2021-12-31,"최성남, 전미자",기타,978-89-6921-425-6(93330),장애인의 생활과 밀접한 문제를 연구하고자 하는 개인 또는 단체의 연구자들을 지원하여 체감도 높은 이슈 발굴 및 적용 가능한 정책 도출
[2021] 중증장애인직업재활지원사업 운영매뉴얼_수정본,2021-12-31,이혜경,정책연구,978-89-6921-440-9,중증장애인직업재활지원사업의 운영 매뉴얼
[2021] 2020 장애인삶 패널조사,2021-12-31,김정희,정책연구,978-89-6921-431-7(93330),장애인의 장애등록 이후 삶의 변화를 파악하고  삶과 관련된 일상생활  소득수준  건강상태  복지욕구  사회참여 등의 탐색을 통해 향후 관련 정책의 수립 및 지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함
[2021] 장애인 재난안전 대책 강화 사업,2021-12-31,강정배,정책연구,978-89-6921-432-4(93330),장애인 재난 안전가이드 5종 개발 및 개선  홍보  장애인 재난대피계획 시범사업 수립
[2021] 거주시설 장애인 복지환경 기초조사 연구,2021-12-31,서해정,정책연구,978-89-6921-006-7,지역사회 복지자원 및 환경 분석을 통한 거주시설 변환 방안 및 지역사회 장애인 자립지원 방안 제안
[2021] 탈시설 장애인 지원을 위한 매뉴얼 개발 기초연구,2021-12-24,서해정,정책연구,978-89-6921-005-0(13330),장애인의 탈시설 및 거주 전환에 대한 실질적인 업무를 위한 매뉴얼 개발 기초연구 수행
[2021] 장애인 편의시설 상세표준도 수정2판,2021-12-14,김인순,편의증진,978-89-6921-322-8,장애인등편의법 제14조제2항에 따라 편의시설 상세표준도를 작성하여 보급함. 건축물에 대한 편의시설 상세표준도는 해당 편의시설에 관한 건축법 제23조제4항에 따른 표준설계도서로 봄.
